Ticker,Date,Spot_Rate,Qualifier,Qualifier_Description
index,,data_Value,qualifier,qualifier_Description
FBXD,2023-08-08,1781.63,CNER,China North Europe
FBXD,2023-08-07,2423.63,CMED,China Mediterranean
FBXD,2023-08-07,314.57,NERC,North Europe China
FBXD,2023-08-07,982.44,PANA,China North America East - West Spread
FBXD,2023-08-07,1688,ENAE,Europe North America East
FBXD,2023-08-07,1019.12,ESAE,Europe South America East
FBXD,2023-08-07,1539.73,GLBL,Global
FBXD,2023-08-07,1901.05,CNAW,China North America West
FBXD,2023-08-07,466.95,NAWC,North America West China
FBXD,2023-08-07,1805.33,CNER,China North Europe
FBXD,2023-08-07,516.08,NAEC,North America East China
FBXD,2023-08-07,2883.49,CNAE,China North America East
FBXD,2023-08-07,349.7,MEDC,Mediterranean China
FBXD,2023-08-07,521.41,NAEE,North America East Europe
FBXD,2023-08-07,2718,ESAW,Europe South America West
FBXD,2023-08-04,2423.14,CMED,China Mediterranean
FBXD,2023-08-04,1019.12,ESAE,Europe South America East
FBXD,2023-08-04,1688,ENAE,Europe North America East
FBXD,2023-08-04,1484.96,GLBL,Global
FBXD,2023-08-04,2709,ESAW,Europe South America West
FBXD,2023-08-04,1723.9,CNAW,China North America West
FBXD,2023-08-04,465.89,NAWC,North America West China
FBXD,2023-08-04,337.41,NERC,North Europe China
FBXD,2023-08-04,351.06,MEDC,Mediterranean China
FBXD,2023-08-04,2743.1,CNAE,China North America East
FBXD,2023-08-04,534.37,NAEE,North America East Europe
FBXD,2023-08-04,510.38,NAEC,North America East China
FBXD,2023-08-04,1769.55,CNER,China North Europe
FBXD,2023-08-04,1019.2,PANA,China North America East - West Spread
FBXD,2023-08-03,337.41,NERC,North Europe China
FBXD,2023-08-03,2423.14,CMED,China Mediterranean
FBXD,2023-08-03,1688,ENAE,Europe North America East
FBXD,2023-08-03,1019.12,ESAE,Europe South America East
FBXD,2023-08-03,2713,ESAW,Europe South America West
FBXD,2023-08-03,1479.92,GLBL,Global
FBXD,2023-08-03,1710.37,CNAW,China North America West
FBXD,2023-08-03,2736.72,CNAE,China North America East
FBXD,2023-08-03,465.89,NAWC,North America West China
FBXD,2023-08-03,510.38,NAEC,North America East China
FBXD,2023-08-03,534.37,NAEE,North America East Europe
FBXD,2023-08-03,349.6,MEDC,Mediterranean China
FBXD,2023-08-03,1759.89,CNER,China North Europe
FBXD,2023-08-03,1026.35,PANA,China North America East - West Spread
FBXD,2023-08-02,2435.9,CMED,China Mediterranean
FBXD,2023-08-02,1688,ENAE,Europe North America East
FBXD,2023-08-02,1023.19,ESAE,Europe South America East
FBXD,2023-08-02,1460.38,GLBL,Global
FBXD,2023-08-02,2721,ESAW,Europe South America West
FBXD,2023-08-02,952.71,PANA,China North America East - West Spread
FBXD,2023-08-02,1676.18,CNAW,China North America West
FBXD,2023-08-02,337.4,NERC,North Europe China
FBXD,2023-08-02,1743.87,CNER,China North Europe
FBXD,2023-08-02,465.89,NAWC,North America West China
FBXD,2023-08-02,2628.89,CNAE,China North America East
FBXD,2023-08-02,534.37,NAEE,North America East Europe
FBXD,2023-08-02,349.6,MEDC,Mediterranean China
FBXD,2023-08-02,510.53,NAEC,North America East China
FBXD,2023-08-01,2658.75,CNAE,China North America East
FBXD,2023-08-01,315.08,NERC,North Europe China
FBXD,2023-08-01,1157.6,ESAE,Europe South America East
FBXD,2023-08-01,1688,ENAE,Europe North America East
FBXD,2023-08-01,1470.14,GLBL,Global
FBXD,2023-08-01,2451.95,CMED,China Mediterranean
FBXD,2023-08-01,465.89,NAWC,North America West China
FBXD,2023-08-01,1708.39,CNAW,China North America West
FBXD,2023-08-01,347.66,MEDC,Mediterranean China
FBXD,2023-08-01,534.37,NAEE,North America East Europe
FBXD,2023-08-01,510.53,NAEC,North America East China
FBXD,2023-08-01,1736,CNER,China North Europe
FBXD,2023-08-01,2721,ESAW,Europe South America West
FBXD,2023-08-01,950.36,PANA,China North America East - West Spread
FBXD,2023-07-31,2566.35,CNAE,China North America East
FBXD,2023-07-31,1988.75,CMED,China Mediterranean
FBXD,2023-07-31,1152.1,ESAE,Europe South America East
FBXD,2023-07-31,1688,ENAE,Europe North America East
FBXD,2023-07-31,1314.38,GLBL,Global
FBXD,2023-07-31,2620,ESAW,Europe South America West
FBXD,2023-07-31,1543.25,CNAW,China North America West
FBXD,2023-07-31,512.26,NAWC,North America West China
FBXD,2023-07-31,381.99,MEDC,Mediterranean China
FBXD,2023-07-31,532.73,NAEE,North America East Europe
FBXD,2023-07-31,549.27,NAEC,North America East China
FBXD,2023-07-31,1266.71,CNER,China North Europe
FBXD,2023-07-31,1023.1,PANA,China North America East - West Spread
FBXD,2023-07-31,362.63,NERC,North Europe China
FBXD,2023-07-28,2580.95,CNAE,China North America East
FBXD,2023-07-28,362.63,NERC,North Europe China
FBXD,2023-07-28,1688,ENAE,Europe North America East
FBXD,2023-07-28,1152.49,ESAE,Europe South America East
FBXD,2023-07-28,1313.81,GLBL,Global
FBXD,2023-07-28,1053.3,PANA,China North America East - West Spread
FBXD,2023-07-28,2633,ESAW,Europe South America West
FBXD,2023-07-28,1988.75,CMED,China Mediterranean
FBXD,2023-07-28,511.68,NAWC,North America West China
FBXD,2023-07-28,1527.65,CNAW,China North America West
FBXD,2023-07-28,398.32,MEDC,Mediterranean China
FBXD,2023-07-28,532.73,NAEE,North America East Europe
FBXD,2023-07-28,554.67,NAEC,North America East China
FBXD,2023-07-28,1264.54,CNER,China North Europe
FBXD,2023-07-27,2597.3,CNAE,China North America East
FBXD,2023-07-27,362.63,NERC,North Europe China
FBXD,2023-07-27,1988.75,CMED,China Mediterranean
FBXD,2023-07-27,1152.49,ESAE,Europe South America East
FBXD,2023-07-27,1688,ENAE,Europe North America East
FBXD,2023-07-27,1315.12,GLBL,Global
FBXD,2023-07-27,1527.65,CNAW,China North America West
